,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,3125,4425,-1.0,
1,2,1,1,0,0,0,513,202,369,42,-1.0,
2,3,1,1,1,0,0,513,202,369,42,-1.0,
3,4,1,1,1,1,0,513,202,369,42,-1.0,
4,5,1,1,1,1,1,513,202,149,42,78.423599,213123
5,5,1,1,1,1,2,682,203,104,41,93.304146,2:39
6,5,1,1,1,1,3,808,203,74,40,92.550972,PM
7,2,1,2,0,0,0,513,350,1571,45,-1.0,
8,3,1,2,1,0,0,513,350,1571,45,-1.0,
9,4,1,2,1,1,0,513,350,1571,45,-1.0,
10,5,1,2,1,1,1,513,350,90,36,93.289558,Visit
11,5,1,2,1,1,2,615,350,64,36,93.181755,the
12,5,1,2,1,1,3,694,350,64,45,92.459198,trip
13,5,1,2,1,1,4,774,359,102,36,92.840721,page
14,5,1,2,1,1,5,889,350,56,36,92.055016,for
15,5,1,2,1,1,6,959,359,105,27,92.322342,more
16,5,1,2,1,1,7,1080,350,241,42,92.343918,"information,"
17,5,1,2,1,1,8,1340,350,182,45,92.302017,including
18,5,1,2,1,1,9,1543,350,168,36,90.970177,invoices
19,5,1,2,1,1,10,1728,350,141,45,59.200397,(where
20,5,1,2,1,1,11,1884,350,200,45,90.023285,available)
21,2,1,3,0,0,0,513,507,1067,215,-1.0,
22,3,1,3,1,0,0,513,507,1067,215,-1.0,
23,4,1,3,1,1,0,513,507,1067,36,-1.0,
24,5,1,3,1,1,1,513,507,80,36,91.750732,The
25,5,1,3,1,1,2,607,507,86,36,91.750732,total
26,5,1,3,1,1,3,710,507,40,36,91.885513,of
27,5,1,3,1,1,4,762,507,168,36,91.419449,₹253.73
28,5,1,3,1,1,5,947,507,72,36,92.119232,has
29,5,1,3,1,1,6,1035,516,24,27,91.302841,a
30,5,1,3,1,1,7,1075,507,96,36,91.35881,GST
31,5,1,3,1,1,8,1185,507,40,36,93.147316,of
32,5,1,3,1,1,9,1238,507,141,36,91.832687,₹13.87
33,5,1,3,1,1,10,1396,507,184,36,92.134521,included.
34,4,1,3,1,2,0,515,662,673,60,-1.0,
35,5,1,3,1,2,1,515,662,180,47,92.05751,Switch
36,5,1,3,1,2,2,720,662,245,60,90.402313,Payment
37,5,1,3,1,2,3,985,662,203,47,92.401566,Method
38,2,1,4,0,0,0,517,828,418,47,-1.0,
39,3,1,4,1,0,0,517,828,418,47,-1.0,
40,4,1,4,1,1,0,517,828,418,47,-1.0,
41,5,1,4,1,1,1,517,828,273,47,89.973526,Download
42,5,1,4,1,1,2,816,828,119,46,92.309105,PDF
43,2,1,5,0,0,0,337,1127,1215,64,-1.0,
44,3,1,5,1,0,0,337,1127,1215,64,-1.0,
45,4,1,5,1,1,0,337,1127,1215,64,-1.0,
46,5,1,5,1,1,1,337,1127,147,64,91.574059,You
47,5,1,5,1,1,2,518,1127,164,64,92.691284,rode
48,5,1,5,1,1,3,708,1127,148,64,92.004227,with
49,5,1,5,1,1,4,889,1127,444,64,90.265846,Mohammad
50,5,1,5,1,1,5,1362,1127,190,64,92.692383,Azaz
51,2,1,6,0,0,0,337,1277,289,61,-1.0,
52,3,1,6,1,0,0,337,1277,289,61,-1.0,
53,4,1,6,1,1,0,337,1277,289,61,-1.0,
54,5,1,6,1,1,1,337,1277,141,52,68.871445,4.87%
55,5,1,6,1,1,2,495,1293,131,45,92.203636,Rating
56,2,1,7,0,0,0,405,1569,383,5,-1.0,
57,3,1,7,1,0,0,405,1569,383,5,-1.0,
58,4,1,7,1,1,0,405,1569,383,5,-1.0,
59,5,1,7,1,1,1,405,1569,383,5,95.0, 
60,2,1,8,0,0,0,397,1496,395,77,-1.0,
61,3,1,8,1,0,0,334,1444,458,175,-1.0,
62,4,1,8,1,1,0,397,1496,395,77,-1.0,
63,5,1,8,1,1,1,397,1501,130,67,90.097198,Rate
64,5,1,8,1,1,2,553,1527,52,31,92.517166,or
65,5,1,8,1,1,3,628,1517,64,51,92.744843,tip
66,5,1,8,1,1,4,790,1496,2,77,89.282867,|
67,2,1,9,0,0,0,334,1623,519,6,-1.0,
68,3,1,9,1,0,0,334,1623,519,6,-1.0,
69,4,1,9,1,1,0,334,1623,519,6,-1.0,
70,5,1,9,1,1,1,334,1623,519,6,95.0, 
71,2,1,10,0,0,0,340,1667,536,36,-1.0,
72,3,1,10,1,0,0,340,1667,536,36,-1.0,
73,4,1,10,1,1,0,340,1667,536,36,-1.0,
74,5,1,10,1,1,1,340,1667,160,36,92.373344,License
75,5,1,10,1,1,2,514,1667,114,36,91.667519,Plate:
76,5,1,10,1,1,3,648,1667,228,36,92.114822,WB171146
77,2,1,11,0,0,0,452,2082,1092,61,-1.0,
78,3,1,11,1,0,0,452,2082,1092,61,-1.0,
79,4,1,11,1,1,0,452,2082,1092,61,-1.0,
80,5,1,11,1,1,1,452,2094,280,36,30.146599,UberPPremier
81,5,1,11,1,1,2,786,2078,42,70,34.326172,=~
82,5,1,11,1,1,3,851,2083,150,47,93.305496,10.30
83,5,1,11,1,1,4,1025,2083,281,47,92.285461,kilometers
84,5,1,11,1,1,5,1331,2082,6,61,92.761574,|
85,5,1,11,1,1,6,1361,2083,66,47,93.30619,30
86,5,1,11,1,1,7,1451,2083,93,46,92.885872,min
87,2,1,12,0,0,0,395,2272,1010,607,-1.0,
88,3,1,12,1,0,0,395,2272,1010,607,-1.0,
89,4,1,12,1,1,0,395,2272,403,47,-1.0,
90,5,1,12,1,1,1,395,2276,41,37,63.614967,O
91,5,1,12,1,1,2,570,2272,119,47,93.299858,2:08
92,5,1,12,1,1,3,713,2272,85,46,91.697884,PM
93,4,1,12,1,2,0,570,2383,835,60,-1.0,
94,5,1,12,1,2,1,570,2383,232,47,92.724648,Jasmine
95,5,1,12,1,2,2,825,2383,222,60,91.421135,"Heights,"
96,5,1,12,1,2,3,1069,2383,336,55,90.309181,"JCOW+H36,"
97,4,1,12,1,3,0,571,2494,677,55,-1.0,
98,5,1,12,1,3,1,571,2494,183,47,92.047195,Swami
99,5,1,12,1,3,2,772,2494,366,47,91.190041,Vivekananda
100,5,1,12,1,3,3,1160,2494,88,55,93.105026,"Rd,"
101,4,1,12,1,4,0,572,2604,665,60,-1.0,
102,5,1,12,1,4,1,572,2604,246,59,91.618698,"Noapara,"
103,5,1,12,1,4,2,846,2604,224,47,92.361488,Sukanta
104,5,1,12,1,4,3,1096,2604,141,60,91.548706,"Pally,"
105,4,1,12,1,5,0,573,2714,620,60,-1.0,
106,5,1,12,1,5,1,573,2714,246,60,91.87191,"Rajarhat,"
107,5,1,12,1,5,2,841,2714,143,47,92.478287,West
108,5,1,12,1,5,3,1003,2714,190,60,91.658699,Bengal
109,4,1,12,1,6,0,571,2824,377,55,-1.0,
110,5,1,12,1,6,1,571,2824,221,55,92.253815,"700157,"
111,5,1,12,1,6,2,819,2824,129,47,92.253815,India
112,2,1,13,0,0,0,395,3011,989,421,-1.0,
113,3,1,13,1,0,0,395,3011,989,421,-1.0,
114,4,1,13,1,1,0,395,3011,403,82,-1.0,
115,5,1,13,1,1,1,395,3011,52,76,0.0,B
116,5,1,13,1,1,2,570,3046,228,47,42.643246,2:39PM
117,4,1,13,1,2,0,573,3156,672,60,-1.0,
118,5,1,13,1,2,1,573,3156,111,46,91.908981,DLF
119,5,1,13,1,2,2,710,3156,48,46,92.702171,IT
120,5,1,13,1,2,3,782,3156,231,55,86.066422,"PARK-1,"
121,5,1,13,1,2,4,1038,3156,31,47,93.305061,8
122,5,1,13,1,2,5,1093,3156,152,60,92.921677,Major
123,4,1,13,1,3,0,568,3266,816,55,-1.0,
124,5,1,13,1,3,1,568,3266,196,47,92.421417,Arterial
125,5,1,13,1,3,2,790,3266,159,55,92.690559,"Road,"
126,5,1,13,1,3,3,974,3266,166,47,92.769791,Street
127,5,1,13,1,3,4,1161,3266,223,47,91.035927,Number
128,4,1,13,1,4,0,570,3377,762,55,-1.0,
129,5,1,13,1,4,1,570,3377,81,55,93.305443,"30,"
130,5,1,13,1,4,2,670,3377,172,47,90.992615,Action
131,5,1,13,1,4,3,861,3377,132,47,92.15786,Area
132,5,1,13,1,4,4,1016,3377,23,55,56.243507,"I,"
133,5,1,13,1,4,5,1063,3377,269,55,91.922829,"Newtown,"
134,2,1,14,0,0,0,572,3488,674,60,-1.0,
135,3,1,14,1,0,0,572,3488,674,60,-1.0,
136,4,1,14,1,1,0,572,3488,674,60,-1.0,
137,5,1,14,1,1,1,572,3488,122,47,92.942406,New
138,5,1,14,1,1,2,711,3488,164,55,92.924744,"Town,"
139,5,1,14,1,1,3,898,3488,140,47,92.797615,West
140,5,1,14,1,1,4,1059,3488,187,60,91.840492,Bengal
141,2,1,15,0,0,0,2360,3547,38,23,-1.0,
142,3,1,15,1,0,0,2360,3547,38,23,-1.0,
143,4,1,15,1,1,0,2360,3547,38,23,-1.0,
144,5,1,15,1,1,1,2360,3547,6,23,21.814735,;
145,5,1,15,1,1,2,2389,3550,9,19,0.0,‘
146,2,1,16,0,0,0,571,3577,1477,79,-1.0,
147,3,1,16,1,0,0,571,3569,1883,88,-1.0,
148,4,1,16,1,1,0,571,3577,1477,79,-1.0,
149,5,1,16,1,1,1,571,3598,221,55,93.257851,"700156,"
150,5,1,16,1,1,2,819,3598,129,47,88.546524,India
151,5,1,16,1,1,3,1512,3569,265,88,0.0,"CoegB,"
152,5,1,16,1,1,4,1945,3577,13,79,0.0,J₹~
153,5,1,16,1,1,5,2060,3601,1,2,0.0,~
154,5,1,16,1,1,6,2102,3576,93,65,0.0,A=
155,2,1,17,0,0,0,1496,2233,1250,1424,-1.0,
156,3,1,17,1,0,0,1496,2233,1250,1424,-1.0,
157,4,1,17,1,1,0,1496,2233,1250,1424,-1.0,
158,5,1,17,1,1,1,1496,2233,1250,1424,95.0, 
159,2,1,18,0,0,0,341,3971,1376,51,-1.0,
160,3,1,18,1,0,0,341,3971,1376,51,-1.0,
161,4,1,18,1,1,0,341,3971,1376,51,-1.0,
162,5,1,18,1,1,1,341,3971,161,51,93.010765,Report
163,5,1,18,1,1,2,521,3971,83,41,89.53598,lost
164,5,1,18,1,1,3,622,3971,98,41,89.53598,item
165,5,1,18,1,1,4,781,3971,25,41,80.307434,>»
166,5,1,18,1,1,5,1263,3971,187,41,92.547089,Contact
167,5,1,18,1,1,6,1467,3972,183,50,91.030083,support
168,5,1,18,1,1,7,1692,3971,25,41,52.422974,>
169,2,1,19,0,0,0,341,4128,271,52,-1.0,
170,3,1,19,1,0,0,341,4128,271,52,-1.0,
171,4,1,19,1,1,0,341,4128,271,52,-1.0,
172,5,1,19,1,1,1,341,4128,69,52,92.056671,My
173,5,1,19,1,1,2,427,4128,102,51,89.822556,trips
174,5,1,19,1,1,3,588,4128,24,41,56.749405,>
