,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,3125,4421,-1.0,
1,2,1,1,0,0,0,87,81,738,76,-1.0,
2,3,1,1,1,0,0,87,81,738,76,-1.0,
3,4,1,1,1,1,0,87,81,738,76,-1.0,
4,5,1,1,1,1,1,87,82,344,75,90.756119,Payment
5,5,1,1,1,1,2,461,81,364,76,79.729767,Summary
6,2,1,2,0,0,0,82,276,463,218,-1.0,
7,3,1,2,1,0,0,82,276,463,218,-1.0,
8,4,1,2,1,1,0,88,276,248,66,-1.0,
9,5,1,2,1,1,1,88,276,151,66,92.805389,Ride
10,5,1,2,1,1,2,268,282,68,60,92.794563,ID
11,4,1,2,1,2,0,82,428,463,66,-1.0,
12,5,1,2,1,2,1,82,431,178,63,92.845734,Time
13,5,1,2,1,2,2,288,428,77,66,93.267014,of
14,5,1,2,1,2,3,392,428,153,66,92.58548,Ride
15,2,1,3,0,0,0,1464,724,206,75,-1.0,
16,3,1,3,1,0,0,1464,724,206,75,-1.0,
17,4,1,3,1,1,0,1464,724,206,75,-1.0,
18,5,1,3,1,1,1,1464,724,206,75,91.698555,Total
19,2,1,4,0,0,0,1267,851,555,107,-1.0,
20,3,1,4,1,0,0,1267,851,555,107,-1.0,
21,4,1,4,1,1,0,1267,851,555,107,-1.0,
22,5,1,4,1,1,1,1267,853,72,103,93.176468,₹
23,5,1,4,1,1,2,1382,851,440,107,84.705231,272.00
24,2,1,5,0,0,0,272,1097,1593,581,-1.0,
25,3,1,5,1,0,0,272,1097,1593,581,-1.0,
26,4,1,5,1,1,0,272,1097,473,197,-1.0,
27,5,1,5,1,1,1,272,1097,473,197,95.0, 
28,4,1,5,1,2,0,807,1101,1058,577,-1.0,
29,5,1,5,1,2,1,807,1101,1058,577,95.0,    
30,2,1,6,0,0,0,79,1372,901,199,-1.0,
31,3,1,6,1,0,0,79,1372,901,199,-1.0,
32,4,1,6,1,1,0,79,1372,898,86,-1.0,
33,5,1,6,1,1,1,79,1372,138,86,0.0,Mee.__
34,5,1,6,1,1,2,309,1368,25,94,65.940094,_
35,5,1,6,1,1,3,359,1375,361,69,0.0,Milnikéhias
36,5,1,6,1,1,4,952,1403,25,39,75.720062,=
37,4,1,6,1,2,0,94,1438,873,72,-1.0,
38,5,1,6,1,2,1,94,1438,500,72,0.0,₹E_SeJMagir
39,5,1,6,1,2,2,734,1445,233,49,0.0,"ppy,iits"
40,4,1,6,1,3,0,112,1465,868,106,-1.0,
