,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,2479,3508,-1.0,
1,2,1,1,0,0,0,404,144,374,47,-1.0,
2,3,1,1,1,0,0,404,144,374,47,-1.0,
3,4,1,1,1,1,0,404,144,374,47,-1.0,
4,5,1,1,1,1,1,404,144,172,37,91.321281,Amount
5,5,1,1,1,1,2,593,144,185,47,92.156494,Charged
6,2,1,2,0,0,0,580,279,447,37,-1.0,
7,3,1,2,1,0,0,407,267,620,67,-1.0,
8,4,1,2,1,1,0,580,279,447,37,-1.0,
9,5,1,2,1,1,1,580,279,92,37,93.249748,Paid
10,5,1,2,1,1,2,693,279,33,36,91.246643,in
11,5,1,2,1,1,3,745,279,100,37,90.742722,cash
12,5,1,2,1,1,4,884,279,143,37,92.574875,Switch
13,2,1,3,0,0,0,1856,276,221,46,-1.0,
14,3,1,3,1,0,0,1856,276,221,46,-1.0,
15,4,1,3,1,1,0,1856,276,221,46,-1.0,
16,5,1,3,1,1,1,1856,276,221,46,91.954041,₹197.07
17,2,1,4,0,0,0,404,421,1245,36,-1.0,
18,3,1,4,1,0,0,404,421,1245,36,-1.0,
19,4,1,4,1,1,0,404,421,1245,36,-1.0,
20,5,1,4,1,1,1,404,422,70,28,92.754051,Visit
21,5,1,4,1,1,2,485,422,50,27,92.77079,the
22,5,1,4,1,1,3,547,422,50,35,92.193489,trip
23,5,1,4,1,1,4,612,429,80,28,92.30497,page
24,5,1,4,1,1,5,704,422,44,28,92.428368,for
25,5,1,4,1,1,6,760,429,82,21,92.034668,more
26,5,1,4,1,1,7,856,422,190,32,92.536942,"information,"
27,5,1,4,1,1,8,1062,422,144,35,92.220291,including
28,5,1,4,1,1,9,1221,422,131,28,92.43557,invoices
29,5,1,4,1,1,10,1367,421,111,36,82.186775,(where
30,5,1,4,1,1,11,1491,421,158,36,92.79557,available)
31,2,1,5,0,0,0,265,801,430,37,-1.0,
32,3,1,5,1,0,0,265,801,430,37,-1.0,
33,4,1,5,1,1,0,265,801,430,37,-1.0,
34,5,1,5,1,1,1,265,801,80,37,92.714165,You
35,5,1,5,1,1,2,366,801,95,37,92.001823,rode
36,5,1,5,1,1,3,477,801,86,36,92.716736,with
37,5,1,5,1,1,4,580,801,115,37,91.625877,Aftab
38,2,1,6,0,0,0,859,968,271,47,-1.0,
39,3,1,6,1,0,0,859,968,271,47,-1.0,
40,4,1,6,1,1,0,859,968,271,47,-1.0,
41,5,1,6,1,1,1,859,974,83,33,93.304779,4.78
42,5,1,6,1,1,2,955,968,42,41,0.0,J¢
43,5,1,6,1,1,3,1009,974,121,41,93.285896,Rating
44,2,1,7,0,0,0,662,1142,553,33,-1.0,
45,3,1,7,1,0,0,662,1142,553,33,-1.0,
