,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,3125,4042,-1.0,
1,2,1,1,0,0,0,484,75,507,124,-1.0,
2,3,1,1,1,0,0,484,75,507,124,-1.0,
3,4,1,1,1,1,0,484,75,342,48,-1.0,
4,5,1,1,1,1,1,484,78,108,45,91.272308,Tax
5,5,1,1,1,1,2,612,75,214,48,90.621094,Invoice
6,4,1,1,1,2,0,488,164,503,35,-1.0,
7,5,1,1,1,2,1,488,164,503,35,91.635559,RD16672718115062477
8,2,1,2,0,0,0,2442,61,213,129,-1.0,
9,3,1,2,1,0,0,2442,61,213,129,-1.0,
10,4,1,2,1,1,0,2442,61,213,129,-1.0,
11,5,1,2,1,1,1,2442,61,213,129,95.0, 
12,2,1,3,0,0,0,545,337,1181,174,-1.0,
13,3,1,3,1,0,0,545,337,1181,174,-1.0,
14,4,1,3,1,1,0,546,337,1180,54,-1.0,
15,5,1,3,1,1,1,546,339,187,52,91.790642,Roppen
16,5,1,3,1,1,2,749,338,372,53,92.611412,Transportation
17,5,1,3,1,1,3,1139,338,201,41,92.908112,Services
18,5,1,3,1,1,4,1360,338,167,41,92.951294,Private
19,5,1,3,1,1,5,1547,337,179,42,92.897141,Limited
20,4,1,3,1,2,0,545,404,989,46,-1.0,
21,5,1,3,1,2,1,545,406,69,39,93.297386,"1st,"
22,5,1,3,1,2,2,632,406,55,34,92.606636,No
23,5,1,3,1,2,3,705,405,132,40,90.977844,"179-D,"
24,5,1,3,1,2,4,855,404,141,36,92.929764,Khasra
25,5,1,3,1,2,5,1014,414,50,26,92.015289,no
26,5,1,3,1,2,6,1080,405,48,35,93.305634,78
27,5,1,3,1,2,7,1146,404,115,35,92.997803,Khirki
28,5,1,3,1,2,8,1276,404,148,46,92.720055,"Village,"
29,5,1,3,1,2,9,1442,406,92,34,91.221176,New
30,4,1,3,1,3,0,545,470,690,41,-1.0,
31,5,1,3,1,3,1,545,470,116,41,92.39093,"Delhi,"
32,5,1,3,1,3,2,676,470,121,36,91.843506,South
33,5,1,3,1,3,3,816,470,116,41,92.369316,"Delhi,"
34,5,1,3,1,3,4,950,470,115,41,92.904701,"Delhi,"
35,5,1,3,1,3,5,1110,471,125,35,96.812386,110017
36,2,1,4,0,0,0,541,560,929,173,-1.0,
37,3,1,4,1,0,0,541,560,929,173,-1.0,
38,4,1,4,1,1,0,541,560,239,53,-1.0,
39,5,1,4,1,1,1,541,560,239,53,92.390732,Vijayguna
40,4,1,4,1,2,0,543,627,927,46,-1.0,
41,5,1,4,1,2,1,543,628,107,40,91.083427,"281c,"
42,5,1,4,1,2,2,668,637,94,26,91.6138,near
43,5,1,4,1,2,3,778,629,97,39,91.644943,"IIMT,"
44,5,1,4,1,2,4,894,627,231,46,92.255737,Knowledge
45,5,1,4,1,2,5,1142,627,92,36,92.812675,Park
46,5,1,4,1,2,6,1250,629,43,39,82.478226,"Ill,"
47,5,1,4,1,2,7,1310,628,160,35,92.236603,Greater
48,4,1,4,1,3,0,545,692,739,41,-1.0,
