,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,2479,3508,-1.0,
1,2,1,1,0,0,0,276,166,1918,69,-1.0,
2,3,1,1,1,0,0,276,166,1918,69,-1.0,
3,4,1,1,1,1,0,276,166,1918,69,-1.0,
4,5,1,1,1,1,1,276,166,173,69,91.330414,Uber
5,5,1,1,1,1,2,2017,177,54,27,93.126732,May
6,5,1,1,1,1,3,2083,177,36,25,96.367744,"11,"
7,5,1,1,1,1,4,2130,177,64,22,96.892044,2023
8,2,1,2,0,0,0,282,267,1911,6,-1.0,
9,3,1,2,1,0,0,282,267,1911,6,-1.0,
10,4,1,2,1,1,0,282,267,1911,6,-1.0,
11,5,1,2,1,1,1,282,267,1911,6,95.0, 
12,2,1,3,0,0,0,281,352,1051,57,-1.0,
13,3,1,3,1,0,0,281,352,1051,57,-1.0,
14,4,1,3,1,1,0,281,352,1051,57,-1.0,
15,5,1,3,1,1,1,281,352,165,45,92.783783,Here's
16,5,1,3,1,1,2,465,364,114,45,92.540817,your
17,5,1,3,1,1,3,599,352,175,57,92.13121,receipt
18,5,1,3,1,1,4,792,352,69,45,91.593208,for
19,5,1,3,1,1,5,879,364,114,45,90.828751,your
20,5,1,3,1,1,6,1013,352,109,53,92.469017,"ride,"
21,5,1,3,1,1,7,1148,352,184,45,90.948746,Hariom
22,2,1,4,0,0,0,277,475,588,28,-1.0,
23,3,1,4,1,0,0,277,475,588,28,-1.0,
24,4,1,4,1,1,0,277,475,588,28,-1.0,
25,5,1,4,1,1,1,277,475,44,22,92.584648,We
26,5,1,4,1,1,2,330,475,63,28,92.977501,hope
27,5,1,4,1,1,3,403,480,44,22,92.573318,you
28,5,1,4,1,1,4,458,475,103,28,91.798286,enjoyed
29,5,1,4,1,1,5,571,480,57,22,93.065163,your
30,5,1,4,1,1,6,637,475,48,22,93.110878,ride
31,5,1,4,1,1,7,694,475,45,22,92.536804,this
32,5,1,4,1,1,8,750,475,115,27,91.989243,morning.
33,2,1,5,0,0,0,276,743,1924,6,-1.0,
34,3,1,5,1,0,0,276,743,1924,6,-1.0,
35,4,1,5,1,1,0,276,743,1924,6,-1.0,
36,5,1,5,1,1,1,276,743,1924,6,95.0, 
37,2,1,6,0,0,0,276,639,1923,824,-1.0,
38,3,1,6,1,0,0,276,639,1922,724,-1.0,
39,4,1,6,1,1,0,277,639,1919,50,-1.0,
40,5,1,6,1,1,1,277,639,97,50,92.919991,Total
41,5,1,6,1,1,2,2036,643,160,33,92.4935,₹497.00
42,4,1,6,1,2,0,276,810,1920,27,-1.0,
43,5,1,6,1,2,1,276,810,50,27,92.314789,Trip
44,5,1,6,1,2,2,333,810,93,27,92.215111,Charge
45,5,1,6,1,2,3,2095,810,101,21,92.384506,₹597.45
46,4,1,6,1,3,0,277,953,1921,37,-1.0,
47,5,1,6,1,3,1,277,953,109,37,92.733215,Subtotal
48,5,1,6,1,3,2,2091,958,107,22,92.507057,₹597.45
49,4,1,6,1,4,0,278,1013,1919,27,-1.0,
50,5,1,6,1,4,1,278,1013,126,27,92.407051,Rounding
51,5,1,6,1,4,2,2114,1013,83,22,91.731049,-₹0.45
52,4,1,6,1,5,0,278,1064,1919,36,-1.0,
53,5,1,6,1,5,1,278,1064,135,36,91.078972,Promotion
54,5,1,6,1,5,2,2081,1068,116,22,91.325073,-₹100.00
55,4,1,6,1,6,0,280,1321,196,42,-1.0,
56,5,1,6,1,6,1,280,1321,196,42,90.546074,Payments
57,3,1,6,2,0,0,279,1417,1920,57,-1.0,
58,4,1,6,2,1,0,416,1417,1783,46,-1.0,
59,5,1,6,2,1,1,416,1417,78,27,86.161751,Cash
60,5,1,6,2,1,2,2054,1433,145,30,93.077408,₹497.00
61,2,1,7,0,0,0,415,1472,252,27,-1.0,
62,3,1,7,1,0,0,415,1472,252,27,-1.0,
63,4,1,7,1,1,0,415,1472,252,27,-1.0,
64,5,1,7,1,1,1,415,1472,115,27,89.804222,5/11/23
65,5,1,7,1,1,2,546,1468,61,44,93.303352,1:19
66,5,1,7,1,1,3,620,1472,47,26,91.649681,PM
67,2,1,8,0,0,0,277,1588,984,29,-1.0,
68,3,1,8,1,0,0,277,1588,984,29,-1.0,
69,4,1,8,1,1,0,277,1588,984,29,-1.0,
70,5,1,8,1,1,1,277,1589,55,22,92.801071,Visit
71,5,1,8,1,1,2,339,1589,40,22,92.801071,the
72,5,1,8,1,1,3,387,1589,41,27,90.386139,trip
73,5,1,8,1,1,4,437,1594,65,22,93.080872,page
74,5,1,8,1,1,5,511,1589,34,22,92.230782,for
75,5,1,8,1,1,6,554,1594,66,17,93.264381,more
76,5,1,8,1,1,7,630,1588,153,26,92.927986,"information,"
77,5,1,8,1,1,8,794,1589,115,27,91.391724,including
78,5,1,8,1,1,9,919,1589,106,22,92.472267,invoices
79,5,1,8,1,1,10,1036,1589,89,27,69.693878,(where
80,5,1,8,1,1,11,1135,1588,126,29,91.655869,available)
81,2,1,9,0,0,0,276,1686,685,23,-1.0,
82,3,1,9,1,0,0,276,1686,685,23,-1.0,
83,4,1,9,1,1,0,276,1686,685,23,-1.0,
84,5,1,9,1,1,1,276,1687,51,22,93.079094,The
85,5,1,9,1,1,2,336,1687,56,22,92.511116,total
86,5,1,9,1,1,3,403,1687,24,22,93.256279,of
87,5,1,9,1,1,4,437,1687,106,22,90.755356,₹497.00
88,5,1,9,1,1,5,556,1687,44,22,92.385941,has
89,5,1,9,1,1,6,613,1692,14,17,92.299332,a
90,5,1,9,1,1,7,638,1686,59,23,92.666626,GST
91,5,1,9,1,1,8,708,1687,23,22,92.666626,of
92,5,1,9,1,1,9,741,1687,90,22,91.89904,₹29.82
93,5,1,9,1,1,10,842,1687,119,22,91.57032,included.
94,2,1,10,0,0,0,276,1884,398,73,-1.0,
95,3,1,10,1,0,0,276,1884,398,73,-1.0,
96,4,1,10,1,1,0,276,1884,398,22,-1.0,
97,5,1,10,1,1,1,276,1884,46,22,92.147583,You
98,5,1,10,1,1,2,334,1884,52,22,92.299141,rode
99,5,1,10,1,1,3,395,1884,47,21,92.333206,with
100,5,1,10,1,1,4,454,1884,115,21,92.333206,RAGHAV
101,5,1,10,1,1,5,579,1884,95,21,92.944984,KUMAR
102,4,1,10,1,2,0,278,1937,290,20,-1.0,
103,5,1,10,1,2,1,278,1937,84,20,92.390144,License
104,5,1,10,1,2,2,370,1937,62,20,92.602524,Plate:
105,5,1,10,1,2,3,440,1937,128,20,92.061882,DL1YE3561
106,2,1,11,0,0,0,277,2024,434,53,-1.0,
107,3,1,11,1,0,0,277,2024,434,53,-1.0,
108,4,1,11,1,1,0,278,2024,433,29,-1.0,
109,5,1,11,1,1,1,278,2025,61,22,92.284996,Uber
110,5,1,11,1,1,2,350,2024,37,23,93.24617,Go
111,5,1,11,1,1,3,429,2025,74,22,76.573349,35.19
112,5,1,11,1,1,4,512,2025,136,22,76.573349,kilometers
113,5,1,11,1,1,5,660,2024,2,29,93.271194,|
114,5,1,11,1,1,6,679,2025,4,21,93.069611,1
115,5,1,11,1,1,7,698,2025,13,21,93.069611,h
116,4,1,11,1,2,0,277,2055,79,22,-1.0,
117,5,1,11,1,2,1,277,2055,79,22,95.673393,59min
118,2,1,12,0,0,0,276,2121,1429,106,-1.0,
119,3,1,12,1,0,0,276,2121,1429,106,-1.0,
120,4,1,12,1,1,0,276,2121,1429,106,-1.0,
121,5,1,12,1,1,1,276,2127,21,100,41.151867,j
122,5,1,12,1,1,2,384,2122,68,22,93.260399,11:20
123,5,1,12,1,1,3,463,2122,42,21,93.256271,AM
124,5,1,12,1,1,4,517,2121,2,29,92.447365,|
125,5,1,12,1,1,5,533,2121,87,28,92.105705,Shyam
126,5,1,12,1,1,6,634,2121,94,28,89.85112,"Colony,"
127,5,1,12,1,1,7,743,2122,69,22,92.130745,Block
128,5,1,12,1,1,8,823,2122,21,26,93.061821,"F,"
129,5,1,12,1,1,9,859,2122,64,22,92.140793,Budh
130,5,1,12,1,1,10,934,2122,67,22,92.845528,Vihar
131,5,1,12,1,1,11,1014,2122,79,22,92.39946,Phase
132,5,1,12,1,1,12,1107,2122,18,26,51.192608,"Il,"
133,5,1,12,1,1,13,1140,2122,63,22,92.410141,Budh
134,5,1,12,1,1,14,1215,2122,73,26,92.370598,"Vihar,"
135,5,1,12,1,1,15,1301,2122,57,22,92.367615,New
136,5,1,12,1,1,16,1370,2122,71,26,92.367615,"Delhi,"
137,5,1,12,1,1,17,1455,2122,62,22,93.266876,Delhi
138,5,1,12,1,1,18,1531,2122,99,26,93.286774,"110041,"
139,5,1,12,1,1,19,1645,2122,60,22,92.761063,India
140,2,1,13,0,0,0,384,2201,1781,53,-1.0,
141,3,1,13,1,0,0,384,2201,1781,53,-1.0,
142,4,1,13,1,1,0,384,2201,1781,29,-1.0,
143,5,1,13,1,1,1,384,2202,52,22,93.30304,1:19
144,5,1,13,1,1,2,449,2202,40,21,91.167534,PM
145,5,1,13,1,1,3,503,2201,1,29,91.167534,|
146,5,1,13,1,1,4,516,2201,116,27,90.289612,"CORE-3,"
147,5,1,13,1,1,5,646,2201,98,23,91.487129,SCOPE
148,5,1,13,1,1,6,757,2201,147,27,92.56208,"COMPLEX,"
149,5,1,13,1,1,7,918,2201,243,23,92.034859,7-INSTITUTIONAL
150,5,1,13,1,1,8,1172,2202,84,26,91.55648,"AREA,"
151,5,1,13,1,1,9,1271,2202,66,22,92.482117,Lodhi
152,5,1,13,1,1,10,1351,2202,74,26,92.252609,"Road,"
153,5,1,13,1,1,11,1438,2201,64,23,86.89328,CGO
154,5,1,13,1,1,12,1515,2201,118,29,92.258286,"Complex,"
155,5,1,13,1,1,13,1648,2202,88,27,93.125381,Pragati
156,5,1,13,1,1,14,1748,2202,73,26,92.593674,"Vihar,"
157,5,1,13,1,1,15,1835,2202,57,22,91.97261,New
158,5,1,13,1,1,16,1904,2202,70,26,92.533447,"Delhi,"
159,5,1,13,1,1,17,1988,2202,63,22,93.209297,Delhi
160,5,1,13,1,1,18,2066,2202,99,25,96.753036,"110003,"
161,4,1,13,1,2,0,384,2232,62,22,-1.0,
162,5,1,13,1,2,1,384,2232,62,22,93.007309,India
163,2,1,14,0,0,0,278,2361,1432,29,-1.0,
164,3,1,14,1,0,0,278,2361,1432,29,-1.0,
165,4,1,14,1,1,0,278,2361,1432,29,-1.0,
166,5,1,14,1,1,1,278,2362,72,22,93.006836,Fares
167,5,1,14,1,1,2,361,2367,40,17,93.303818,are
168,5,1,14,1,1,3,411,2362,112,22,91.803391,inclusive
169,5,1,14,1,1,4,533,2362,24,22,91.595306,of
170,5,1,14,1,1,5,565,2361,67,23,89.915024,GST.
171,5,1,14,1,1,6,645,2362,87,22,92.254547,Please
172,5,1,14,1,1,7,742,2362,126,22,92.241722,download
173,5,1,14,1,1,8,877,2362,41,22,93.097115,the
174,5,1,14,1,1,9,926,2363,39,21,91.990829,tax
175,5,1,14,1,1,10,974,2362,92,22,93.069855,invoice
176,5,1,14,1,1,11,1074,2361,58,23,93.200874,from
