,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,3125,4421,-1.0,
1,2,1,1,0,0,0,82,89,707,170,-1.0,
2,3,1,1,1,0,0,82,89,707,170,-1.0,
3,4,1,1,1,1,0,82,89,467,65,-1.0,
4,5,1,1,1,1,1,82,92,148,62,91.735191,Tax
5,5,1,1,1,1,2,260,89,289,65,89.228104,Invoice
6,4,1,1,1,2,0,87,212,702,47,-1.0,
7,5,1,1,1,2,1,87,212,702,47,89.368439,RD16635967556924817
8,2,1,2,0,0,0,166,449,1660,155,-1.0,
9,3,1,2,1,0,0,166,449,1660,155,-1.0,
10,4,1,2,1,1,0,167,449,1659,74,-1.0,
11,5,1,2,1,1,1,167,452,259,71,91.948036,Roppen
12,5,1,2,1,1,2,454,451,516,72,92.171303,Transportation
13,5,1,2,1,1,3,1001,451,278,55,92.447884,Services
14,5,1,2,1,1,4,1312,451,232,55,91.727791,Private
15,5,1,2,1,1,5,1577,449,249,57,92.332733,Limited
16,4,1,2,1,2,0,166,541,1361,63,-1.0,
17,5,1,2,1,2,1,166,543,95,55,93.296043,"1st,"
18,5,1,2,1,2,2,286,543,77,47,91.629341,No
19,5,1,2,1,2,3,388,543,181,55,93.115479,"179-D,"
20,5,1,2,1,2,4,594,541,193,49,91.832916,Khasra
21,5,1,2,1,2,5,813,554,69,36,93.172401,no
22,5,1,2,1,2,6,904,543,66,47,93.016373,78
23,5,1,2,1,2,7,995,541,158,48,92.351868,Khirki
24,5,1,2,1,2,8,1173,541,203,63,92.488129,"Village,"
25,5,1,2,1,2,9,1401,543,126,47,92.428192,New
26,2,1,3,0,0,0,166,630,944,57,-1.0,
27,3,1,3,1,0,0,166,630,944,57,-1.0,
28,4,1,3,1,1,0,166,630,944,57,-1.0,
29,5,1,3,1,1,1,166,630,159,57,91.928757,"Delhi,"
30,5,1,3,1,1,2,346,630,165,49,91.928757,South
31,5,1,3,1,1,3,537,630,159,57,92.346863,"Delhi,"
32,5,1,3,1,1,4,720,630,158,57,91.63607,"Delhi,"
33,5,1,3,1,1,5,903,632,207,47,96.481331,110017
34,2,1,4,0,0,0,167,755,453,55,-1.0,
35,3,1,4,1,0,0,167,755,453,55,-1.0,
36,4,1,4,1,1,0,167,755,453,55,-1.0,
37,5,1,4,1,1,1,167,756,284,54,92.042404,Navneet
38,5,1,4,1,1,2,478,755,142,55,90.86412,Soni
39,2,1,5,0,0,0,166,845,1168,57,-1.0,
40,3,1,5,1,0,0,166,845,1168,57,-1.0,
41,4,1,5,1,1,0,166,845,1168,57,-1.0,
42,5,1,5,1,1,1,166,847,35,46,92.244362,H
43,5,1,5,1,1,2,229,845,164,57,91.815987,"Block,"
44,5,1,5,1,1,3,416,847,182,47,92.21077,Sector
45,5,1,5,1,1,4,619,847,81,55,93.192345,"62,"
46,5,1,5,1,1,5,726,845,182,57,90.803703,"Noida,"
47,5,1,5,1,1,6,932,847,147,47,91.198799,Uttar
48,5,1,5,1,1,7,1102,845,232,49,91.198799,Pradesh
49,2,1,6,0,0,0,163,935,384,57,-1.0,
50,3,1,6,1,0,0,163,935,384,57,-1.0,
51,4,1,6,1,1,0,163,935,384,57,-1.0,
52,5,1,6,1,1,1,163,937,200,47,93.305229,"201301,"
53,5,1,6,1,1,2,417,935,130,49,92.593201,India
54,2,1,7,0,0,0,160,1104,442,552,-1.0,
55,3,1,7,1,0,0,160,1104,442,552,-1.0,
56,4,1,7,1,1,0,166,1104,311,48,-1.0,
57,5,1,7,1,1,1,166,1104,195,48,92.412331,Invoice
58,5,1,7,1,1,2,387,1105,90,47,92.901917,No.
59,4,1,7,1,2,0,166,1230,354,48,-1.0,
60,5,1,7,1,2,1,166,1230,195,48,92.291245,Invoice
61,5,1,7,1,2,2,384,1231,136,47,92.766632,Date
62,4,1,7,1,3,0,160,1357,389,61,-1.0,
63,5,1,7,1,3,1,160,1357,104,47,91.659935,Tax
64,5,1,7,1,3,2,285,1357,264,61,92.029419,Category
65,4,1,7,1,4,0,166,1480,436,64,-1.0,
66,5,1,7,1,4,1,166,1481,147,49,92.623138,Place
67,5,1,7,1,4,2,342,1480,54,50,91.619118,of
68,5,1,7,1,4,3,410,1481,192,63,92.723785,Supply
69,4,1,7,1,5,0,164,1609,112,47,-1.0,
70,5,1,7,1,5,1,164,1609,112,47,92.331635,GST
71,2,1,8,0,0,0,166,1988,370,58,-1.0,
72,3,1,8,1,0,0,166,1988,370,58,-1.0,
73,4,1,8,1,1,0,166,1988,370,58,-1.0,
74,5,1,8,1,1,1,166,1988,101,57,91.034248,Bill
75,5,1,8,1,1,2,299,1988,237,58,91.408501,Details
76,2,1,9,0,0,0,164,2153,647,316,-1.0,
77,3,1,9,1,0,0,164,2153,647,316,-1.0,
78,4,1,9,1,1,0,166,2153,348,63,-1.0,
79,5,1,9,1,1,1,166,2153,229,63,92.260544,Booking
80,5,1,9,1,1,2,420,2155,94,47,93.105057,Fee
81,4,1,9,1,2,0,164,2280,633,63,-1.0,
82,5,1,9,1,2,1,164,2281,372,48,92.534317,Convenience
83,5,1,9,1,2,2,564,2280,233,63,91.889702,Charges
84,4,1,9,1,3,0,166,2406,645,63,-1.0,
85,5,1,9,1,3,1,166,2406,194,63,92.252853,Rapido
86,5,1,9,1,3,2,383,2407,155,48,92.449127,Coins
87,5,1,9,1,3,3,562,2407,249,48,90.787186,Discount
88,2,1,10,0,0,0,166,2533,254,48,-1.0,
89,3,1,10,1,0,0,166,2533,254,48,-1.0,
90,4,1,10,1,1,0,166,2533,254,48,-1.0,
91,5,1,10,1,1,1,166,2533,254,48,91.626198,Discount
92,2,1,11,0,0,0,163,2710,302,436,-1.0,
93,3,1,11,1,0,0,163,2710,302,436,-1.0,
94,4,1,11,1,1,0,163,2710,285,49,-1.0,
95,5,1,11,1,1,1,163,2710,111,49,92.174446,Sub
96,5,1,11,1,1,2,294,2710,154,49,92.727264,Total
97,4,1,11,1,2,0,164,2838,301,56,-1.0,
98,5,1,11,1,2,1,164,2838,157,47,91.148834,CGST
99,5,1,11,1,2,2,340,2838,125,56,95.614403,(9%)
100,4,1,11,1,3,0,163,2971,297,56,-1.0,
101,5,1,11,1,3,1,163,2971,152,47,92.490196,SGST
102,5,1,11,1,3,2,335,2971,125,56,96.397705,(9%)
103,4,1,11,1,4,0,166,3090,273,56,-1.0,
104,5,1,11,1,4,1,166,3090,130,47,92.144234,IGST
105,5,1,11,1,4,2,316,3090,123,56,95.302177,(0%)
106,2,1,12,0,0,0,168,3266,514,65,-1.0,
107,3,1,12,1,0,0,168,3266,514,65,-1.0,
108,4,1,12,1,1,0,168,3266,514,65,-1.0,
109,5,1,12,1,1,1,168,3266,169,65,92.285934,Final
110,5,1,12,1,1,2,369,3269,313,62,92.450287,Amount
111,2,1,13,0,0,0,162,3419,355,39,-1.0,
112,3,1,13,1,0,0,162,3419,355,39,-1.0,
113,4,1,13,1,1,0,162,3419,355,39,-1.0,
114,5,1,13,1,1,1,162,3419,171,39,92.049561,(Inclusive
115,5,1,13,1,1,2,348,3419,39,33,92.162117,of
116,5,1,13,1,1,3,396,3421,121,37,92.162117,Taxes)
117,2,1,14,0,0,0,2764,74,293,168,-1.0,
118,3,1,14,1,0,0,2764,74,293,168,-1.0,
119,4,1,14,1,1,0,2764,74,293,168,-1.0,
120,5,1,14,1,1,1,2764,74,293,168,95.0, 
121,2,1,15,0,0,0,2102,1105,866,562,-1.0,
122,3,1,15,1,0,0,2380,1105,588,47,-1.0,
123,4,1,15,1,1,0,2380,1105,588,47,-1.0,
124,5,1,15,1,1,1,2380,1105,588,47,68.396263,2223DLO020759073
125,3,1,15,2,0,0,2102,1229,863,301,-1.0,
126,4,1,15,2,1,0,2285,1229,679,63,-1.0,
127,5,1,15,2,1,1,2285,1231,102,61,92.876099,Sep
128,5,1,15,2,1,2,2414,1229,122,49,96.65377,19th
129,5,1,15,2,1,3,2560,1231,153,55,96.091072,"2022,"
130,5,1,15,2,1,4,2736,1231,119,47,93.305351,8:09
131,5,1,15,2,1,5,2881,1231,83,46,93.25985,PM
132,4,1,15,2,2,0,2102,1355,863,58,-1.0,
133,5,1,15,2,2,1,2102,1355,167,49,92.509605,Other
134,5,1,15,2,2,2,2291,1356,230,48,92.509605,services
135,5,1,15,2,2,3,2547,1368,144,36,92.472954,n.e.c.
136,5,1,15,2,2,4,2716,1357,249,56,96.55455,(999799)
137,4,1,15,2,3,0,2824,1481,141,49,-1.0,
138,5,1,15,2,3,1,2824,1481,141,49,93.071167,Delhi
139,3,1,15,3,0,0,2438,1609,530,58,-1.0,
140,4,1,15,3,1,0,2438,1609,530,58,-1.0,
141,5,1,15,3,1,1,2438,1609,530,58,45.918343,O7AAHCR1710J1ZI
142,2,1,16,0,0,0,2736,2155,232,426,-1.0,
143,3,1,16,1,0,0,2736,2155,232,426,-1.0,
144,4,1,16,1,1,0,2795,2155,171,47,-1.0,
145,5,1,16,1,1,1,2795,2157,31,44,93.252113,₹
