,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,3509,4963,-1.0,
1,2,1,1,0,0,0,1454,201,596,61,-1.0,
2,3,1,1,1,0,0,1454,201,596,61,-1.0,
3,4,1,1,1,1,0,1454,201,596,61,-1.0,
4,5,1,1,1,1,1,1454,201,231,61,92.762085,Original
5,5,1,1,1,1,2,1709,202,106,47,92.948174,Tax
6,5,1,1,1,1,3,1838,202,212,47,92.722176,Invoice
7,2,1,2,0,0,0,332,356,650,78,-1.0,
8,3,1,2,1,0,0,332,356,650,78,-1.0,
9,4,1,2,1,1,0,332,356,650,78,-1.0,
10,5,1,2,1,1,1,332,356,209,62,91.442902,Driver
11,5,1,2,1,1,2,567,356,135,78,92.43335,Trip
12,5,1,2,1,1,3,736,356,246,62,92.07679,Invoice
13,2,1,3,0,0,0,419,522,790,87,-1.0,
14,3,1,3,1,0,0,325,470,884,139,-1.0,
15,4,1,3,1,1,0,419,522,790,87,-1.0,
16,5,1,3,1,1,1,419,578,32,31,0.0,o
17,5,1,3,1,1,2,506,522,39,83,0.0,y
18,5,1,3,1,1,3,846,548,266,52,92.123352,Manjunatha
19,5,1,3,1,1,4,1144,548,17,40,91.126488,L
20,5,1,3,1,1,5,1187,548,22,41,93.134033,J
21,2,1,4,0,0,0,844,621,461,48,-1.0,
22,3,1,4,1,0,0,844,621,461,48,-1.0,
23,4,1,4,1,1,0,844,621,461,48,-1.0,
24,5,1,4,1,1,1,844,621,81,41,93.016258,Ola
25,5,1,4,1,1,2,945,621,107,48,90.904266,"Mini,"
26,5,1,4,1,1,3,1076,621,113,41,92.443687,Etios
27,5,1,4,1,1,4,1210,621,95,41,92.154739,Liva
28,2,1,5,0,0,0,844,765,453,114,-1.0,
29,3,1,5,1,0,0,844,765,453,114,-1.0,
30,4,1,5,1,1,0,844,765,453,52,-1.0,
31,5,1,5,1,1,1,844,765,212,52,91.197014,Operator
32,5,1,5,1,1,2,1073,765,224,41,66.981888,State/UT:
33,4,1,5,1,2,0,846,838,242,41,-1.0,
34,5,1,5,1,2,1,846,838,242,41,92.137115,Karnataka
35,2,1,6,0,0,0,321,489,493,457,-1.0,
36,3,1,6,1,0,0,321,489,493,457,-1.0,
37,4,1,6,1,1,0,321,489,493,457,-1.0,
38,5,1,6,1,1,1,321,489,493,457,95.0, 
39,2,1,7,0,0,0,328,1033,791,204,-1.0,
40,3,1,7,1,0,0,328,1033,791,204,-1.0,
41,4,1,7,1,1,0,330,1033,704,41,-1.0,
42,5,1,7,1,1,1,330,1033,165,41,91.442497,Invoice
43,5,1,7,1,1,2,518,1033,46,40,92.741394,ID
44,5,1,7,1,1,3,589,1033,445,41,90.782928,DIEKPAXFZ43558
45,4,1,7,1,2,0,328,1196,791,41,-1.0,
46,5,1,7,1,2,1,328,1196,233,41,91.752991,Customer
47,5,1,7,1,2,2,580,1196,138,41,92.071823,Name
48,5,1,7,1,2,3,743,1196,274,41,91.449638,Prabhakara
49,5,1,7,1,2,4,1037,1196,30,40,91.051804,B
50,5,1,7,1,2,5,1087,1196,32,41,80.522774,S
51,2,1,8,0,0,0,329,1359,1407,147,-1.0,
52,3,1,8,1,0,0,329,1359,1407,147,-1.0,
53,4,1,8,1,1,0,330,1359,1406,52,-1.0,
54,5,1,8,1,1,1,330,1359,156,52,92.055389,Pickup
55,5,1,8,1,1,2,505,1359,195,41,91.245827,Address
56,5,1,8,1,1,3,717,1360,100,47,96.732872,"786,"
57,5,1,8,1,1,4,841,1360,66,40,92.789391,1st
58,5,1,8,1,1,5,927,1359,111,41,92.789391,Main
59,5,1,8,1,1,6,1061,1359,75,48,92.994499,"Rd,"
60,5,1,8,1,1,7,1160,1360,67,40,93.293015,1st
61,5,1,8,1,1,8,1247,1359,139,48,91.979195,"Block,"
62,5,1,8,1,1,9,1410,1359,160,41,92.260788,Dubasi
63,5,1,8,1,1,10,1594,1359,142,52,92.844376,"Palya,"
64,4,1,8,1,2,0,329,1454,1301,52,-1.0,
65,5,1,8,1,2,1,329,1454,180,52,92.822746,Kengeri
66,5,1,8,1,2,2,530,1454,188,41,78.560867,Satellite
67,5,1,8,1,2,3,737,1454,142,48,92.038254,"Town,"
68,5,1,8,1,2,4,902,1454,255,52,90.196396,"Bengaluru,"
69,5,1,8,1,2,5,1180,1454,242,41,90.196396,Karnataka
70,5,1,8,1,2,6,1440,1455,190,47,90.334488,"560059,"
71,2,1,9,0,0,0,327,1549,1070,467,-1.0,
72,3,1,9,1,0,0,330,1549,112,41,-1.0,
73,4,1,9,1,1,0,330,1549,112,41,-1.0,
74,5,1,9,1,1,1,330,1549,112,41,92.899071,India
75,3,1,9,2,0,0,329,1694,292,52,-1.0,
76,4,1,9,2,1,0,329,1694,292,52,-1.0,
77,5,1,9,2,1,1,329,1694,292,52,91.387619,Description
78,3,1,9,3,0,0,327,1834,1070,182,-1.0,
79,4,1,9,3,1,0,327,1834,1070,41,-1.0,
80,5,1,9,3,1,1,327,1834,251,41,92.666763,Customer
81,5,1,9,3,1,2,598,1834,112,41,93.055618,Ride
82,5,1,9,3,1,3,729,1834,201,41,92.182938,Number
83,5,1,9,3,1,4,958,1855,4,8,92.296135,-
84,5,1,9,3,1,5,981,1834,416,41,91.451645,CRN1602939414
85,4,1,9,3,2,0,330,1975,213,41,-1.0,
86,5,1,9,3,2,1,330,1975,105,41,92.802223,Ride
87,5,1,9,3,2,2,457,1975,86,41,93.263351,Fee
