,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,3125,4042,-1.0,
1,2,1,1,0,0,0,484,94,507,124,-1.0,
2,3,1,1,1,0,0,484,94,507,124,-1.0,
3,4,1,1,1,1,0,484,94,342,48,-1.0,
4,5,1,1,1,1,1,484,97,108,45,91.272308,Tax
5,5,1,1,1,1,2,612,94,214,48,90.621094,Invoice
6,4,1,1,1,2,0,488,183,503,35,-1.0,
7,5,1,1,1,2,1,488,183,503,35,92.164536,RD16673613028957743
8,2,1,2,0,0,0,545,355,1181,114,-1.0,
9,3,1,2,1,0,0,545,355,1181,114,-1.0,
10,4,1,2,1,1,0,546,355,1180,54,-1.0,
11,5,1,2,1,1,1,546,357,187,52,91.180649,Roppen
12,5,1,2,1,1,2,749,356,372,53,92.101997,Transportation
13,5,1,2,1,1,3,1139,356,201,41,92.466293,Services
14,5,1,2,1,1,4,1360,356,167,41,92.653465,Private
15,5,1,2,1,1,5,1547,355,179,42,91.828125,Limited
16,4,1,2,1,2,0,545,423,989,46,-1.0,
17,5,1,2,1,2,1,545,425,69,39,93.297386,"1st,"
18,5,1,2,1,2,2,632,425,55,34,92.606636,No
19,5,1,2,1,2,3,705,424,132,40,90.977844,"179-D,"
20,5,1,2,1,2,4,855,423,141,36,92.929764,Khasra
21,5,1,2,1,2,5,1014,433,50,26,92.015289,no
22,5,1,2,1,2,6,1080,424,48,35,93.305634,78
23,5,1,2,1,2,7,1146,423,115,35,92.997803,Khirki
24,5,1,2,1,2,8,1276,423,148,46,92.720055,"Village,"
25,5,1,2,1,2,9,1442,425,92,34,91.221176,New
26,2,1,3,0,0,0,545,488,690,41,-1.0,
27,3,1,3,1,0,0,545,488,690,41,-1.0,
28,4,1,3,1,1,0,545,488,690,41,-1.0,
29,5,1,3,1,1,1,545,488,116,41,91.958054,"Delhi,"
30,5,1,3,1,1,2,676,488,121,36,90.810402,South
31,5,1,3,1,1,3,816,488,116,41,91.824043,"Delhi,"
32,5,1,3,1,1,4,950,488,115,41,92.431587,"Delhi,"
33,5,1,3,1,1,5,1110,489,125,35,95.591835,110017
34,2,1,4,0,0,0,541,579,239,53,-1.0,
35,3,1,4,1,0,0,541,579,239,53,-1.0,
36,4,1,4,1,1,0,541,579,239,53,-1.0,
37,5,1,4,1,1,1,541,579,239,53,92.390732,Vijayguna
38,2,1,5,0,0,0,545,646,962,46,-1.0,
39,3,1,5,1,0,0,545,646,962,46,-1.0,
40,4,1,5,1,1,0,545,646,962,46,-1.0,
41,5,1,5,1,1,1,545,647,86,40,91.717499,"18C,"
42,5,1,5,1,1,2,649,646,232,46,92.019699,Knowledge
43,5,1,5,1,1,3,898,646,91,36,91.972435,Park
44,5,1,5,1,1,4,1005,648,44,39,39.134182,"IIll,"
45,5,1,5,1,1,5,1067,646,132,41,92.548141,"Noida,"
46,5,1,5,1,1,6,1217,648,105,34,92.126877,Uttar
47,5,1,5,1,1,7,1338,646,169,36,93.187904,Pradesh
48,2,1,6,0,0,0,543,711,282,41,-1.0,
49,3,1,6,1,0,0,543,711,282,41,-1.0,
50,4,1,6,1,1,0,543,711,282,41,-1.0,
51,5,1,6,1,1,1,543,712,164,40,93.305389,"201310,"
52,5,1,6,1,1,2,725,711,100,36,93.102173,India
53,2,1,7,0,0,0,541,834,324,403,-1.0,
54,3,1,7,1,0,0,541,834,324,403,-1.0,
55,4,1,7,1,1,0,545,834,230,35,-1.0,
56,5,1,7,1,1,1,545,834,146,35,91.863121,Invoice
57,5,1,7,1,1,2,708,835,67,34,92.717926,No.
58,4,1,7,1,2,0,545,941,258,35,-1.0,
59,5,1,7,1,2,1,545,941,146,35,92.276718,Invoice
60,5,1,7,1,2,2,708,942,95,34,93.043541,Date
61,4,1,7,1,3,0,541,1018,278,45,-1.0,
62,5,1,7,1,3,1,541,1019,74,34,90.577255,Tax
63,5,1,7,1,3,2,630,1018,189,45,92.061745,Category
64,4,1,7,1,4,0,545,1107,320,47,-1.0,
65,5,1,7,1,4,1,545,1108,107,36,92.122696,Place
66,5,1,7,1,4,2,667,1107,43,37,92.497391,of
67,5,1,7,1,4,3,722,1108,143,46,92.645988,Supply
68,4,1,7,1,5,0,544,1202,81,35,-1.0,
69,5,1,7,1,5,1,544,1202,81,35,91.623367,GST
70,2,1,8,0,0,0,546,1432,279,42,-1.0,
71,3,1,8,1,0,0,546,1432,279,42,-1.0,
72,4,1,8,1,1,0,546,1432,279,42,-1.0,
73,5,1,8,1,1,1,546,1432,77,41,92.509964,Bill
74,5,1,8,1,1,2,644,1432,181,42,92.738289,Details
75,2,1,9,0,0,0,544,1599,457,138,-1.0,
76,3,1,9,1,0,0,544,1599,457,138,-1.0,
77,4,1,9,1,1,0,545,1599,255,46,-1.0,
78,5,1,9,1,1,1,545,1599,170,46,92.669678,Booking
79,5,1,9,1,1,2,731,1601,69,34,91.067009,Fee
80,4,1,9,1,2,0,544,1691,457,46,-1.0,
81,5,1,9,1,2,1,544,1692,271,35,92.491615,Convenience
82,5,1,9,1,2,2,830,1691,171,46,92.302185,Charges
