,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,3125,4417,-1.0,
1,2,1,1,0,0,0,83,83,688,173,-1.0,
2,3,1,1,1,0,0,83,83,688,173,-1.0,
3,4,1,1,1,1,0,83,83,427,62,-1.0,
4,5,1,1,1,1,1,83,83,134,62,91.915878,Tax
5,5,1,1,1,1,2,245,83,265,62,91.823914,Invoice
6,4,1,1,1,2,0,86,208,685,48,-1.0,
7,5,1,1,1,2,1,86,208,685,48,91.459373,RD16575083947098035
8,2,1,2,0,0,0,163,492,355,299,-1.0,
9,3,1,2,1,0,0,163,492,355,299,-1.0,
10,4,1,2,1,1,0,165,492,316,47,-1.0,
11,5,1,2,1,1,1,165,492,157,47,90.01712,Invoic
12,5,1,2,1,1,2,340,504,31,35,91.553879,e
13,5,1,2,1,1,3,394,492,87,47,91.427834,No.
14,4,1,2,1,2,0,165,618,353,47,-1.0,
15,5,1,2,1,2,1,165,618,157,47,90.572136,Invoic
16,5,1,2,1,2,2,357,630,14,35,90.574402,e
17,5,1,2,1,2,3,394,618,124,47,91.988716,Date
18,4,1,2,1,3,0,163,745,152,46,-1.0,
19,5,1,2,1,3,1,163,745,152,46,90.306305,State
20,2,1,3,0,0,0,161,869,378,60,-1.0,
21,3,1,3,1,0,0,161,869,378,60,-1.0,
22,4,1,3,1,1,0,161,869,378,60,-1.0,
23,5,1,3,1,1,1,161,869,105,47,92.005493,Tax
24,5,1,3,1,1,2,286,869,253,60,92.732635,Category
25,2,1,4,0,0,0,163,1049,437,311,-1.0,
26,3,1,4,1,0,0,163,1049,437,311,-1.0,
27,4,1,4,1,1,0,165,1049,435,60,-1.0,
28,5,1,4,1,1,1,165,1049,152,47,92.22493,Place
29,5,1,4,1,1,2,338,1049,53,47,92.22493,of
30,5,1,4,1,1,3,409,1049,191,60,92.110542,Supply
31,4,1,4,1,2,0,163,1175,371,47,-1.0,
32,5,1,4,1,2,1,163,1175,127,47,92.093239,GST
33,5,1,4,1,2,2,312,1175,222,47,92.876984,Number
34,4,1,4,1,3,0,163,1301,400,59,-1.0,
35,5,1,4,1,3,1,163,1301,212,59,90.4832,Captain
36,5,1,4,1,3,2,401,1301,162,47,91.841042,Name
37,2,1,5,0,0,0,160,1427,460,47,-1.0,
38,3,1,5,1,0,0,160,1427,460,47,-1.0,
39,4,1,5,1,1,0,160,1427,460,47,-1.0,
40,5,1,5,1,1,1,160,1427,156,47,90.779762,Vehic
41,5,1,5,1,1,2,336,1427,43,47,92.151405,le
42,5,1,5,1,1,3,402,1427,218,47,92.151405,Number
43,2,1,6,0,0,0,163,1605,508,46,-1.0,
44,3,1,6,1,0,0,163,1605,508,46,-1.0,
45,4,1,6,1,1,0,163,1605,508,46,-1.0,
46,5,1,6,1,1,1,163,1605,284,46,90.406868,Customer
47,5,1,6,1,1,2,500,1605,171,46,89.663208,Name
48,2,1,7,0,0,0,163,1730,1318,234,-1.0,
49,3,1,7,1,0,0,163,1730,1318,234,-1.0,
50,4,1,7,1,1,0,163,1730,771,59,-1.0,
51,5,1,7,1,1,1,163,1730,274,47,92.547913,Customer
52,5,1,7,1,1,2,465,1730,118,47,90.990036,Pick
53,5,1,7,1,1,3,605,1730,75,59,87.751343,Up
54,5,1,7,1,1,4,704,1730,230,47,92.178558,Address
55,4,1,7,1,2,0,165,1820,1316,60,-1.0,
56,5,1,7,1,2,1,165,1820,93,55,93.306091,"170,"
57,5,1,7,1,2,2,280,1820,302,55,91.297455,"Talimabad,"
58,5,1,7,1,2,3,605,1820,227,60,92.603455,Sangam
59,5,1,7,1,2,4,851,1820,156,55,92.376221,"Vihar,"
60,5,1,7,1,2,5,1033,1820,121,47,91.963303,New
61,5,1,7,1,2,6,1174,1820,149,55,91.603622,"Delhi,"
62,5,1,7,1,2,7,1348,1820,133,47,92.80162,Delhi
63,4,1,7,1,3,0,167,1908,373,56,-1.0,
64,5,1,7,1,3,1,167,1908,217,56,93.306084,"110062,"
65,5,1,7,1,3,2,411,1909,129,47,89.12957,India
66,2,1,8,0,0,0,165,2222,359,54,-1.0,
67,3,1,8,1,0,0,165,2222,359,54,-1.0,
68,4,1,8,1,1,0,165,2222,359,54,-1.0,
69,5,1,8,1,1,1,165,2222,98,53,92.158028,Bill
70,5,1,8,1,1,2,296,2222,228,54,93.14431,Details
71,2,1,9,0,0,0,162,2450,342,438,-1.0,
72,3,1,9,1,0,0,162,2450,342,438,-1.0,
73,4,1,9,1,1,0,163,2450,340,59,-1.0,
74,5,1,9,1,1,1,163,2450,212,59,91.64859,Captain
75,5,1,9,1,1,2,401,2450,102,47,92.969193,Fee
76,4,1,9,1,2,0,163,2576,341,58,-1.0,
77,5,1,9,1,2,1,163,2576,155,46,91.029816,CGST
78,5,1,9,1,2,2,344,2576,160,58,96.536407,(2.5%)
79,4,1,9,1,3,0,162,2701,335,58,-1.0,
80,5,1,9,1,3,1,162,2701,155,46,92.369827,SGST
81,5,1,9,1,3,2,335,2701,162,58,96.58728,(2.5%)
82,4,1,9,1,4,0,165,2827,269,61,-1.0,
83,5,1,9,1,4,1,165,2828,133,47,92.773743,IGST
84,5,1,9,1,4,2,316,2827,118,61,96.869896,(0%)
85,2,1,10,0,0,0,166,3000,446,80,-1.0,
86,3,1,10,1,0,0,166,3000,446,80,-1.0,
87,4,1,10,1,1,0,166,3000,446,80,-1.0,
88,5,1,10,1,1,1,166,3001,158,62,92.810951,Ride
89,5,1,10,1,1,2,354,3000,258,80,92.922203,Charge
90,2,1,11,0,0,0,163,3157,359,40,-1.0,
91,3,1,11,1,0,0,163,3157,359,40,-1.0,
92,4,1,11,1,1,0,163,3157,359,40,-1.0,
93,5,1,11,1,1,1,163,3157,174,40,92.729523,(Inclusive
94,5,1,11,1,1,2,351,3157,35,32,92.583382,of
95,5,1,11,1,1,3,397,3157,125,40,92.583382,Taxes)
96,2,1,12,0,0,0,2768,71,259,163,-1.0,
97,3,1,12,1,0,0,2768,71,259,163,-1.0,
98,4,1,12,1,1,0,2868,71,65,39,-1.0,
99,5,1,12,1,1,1,2868,71,65,39,0.0,Era
100,4,1,12,1,2,0,2879,75,109,79,-1.0,
101,5,1,12,1,2,1,2879,75,109,79,0.0,iar
102,4,1,12,1,3,0,2768,137,259,97,-1.0,
103,5,1,12,1,3,1,2768,137,259,97,0.0,rapiaic
104,2,1,13,0,0,0,2304,491,668,299,-1.0,
105,3,1,13,1,0,0,2304,491,668,299,-1.0,
106,4,1,13,1,1,0,2400,491,572,48,-1.0,
107,5,1,13,1,1,1,2400,491,572,48,45.591461,2223DLO010087314
108,4,1,13,1,2,0,2304,617,657,56,-1.0,
109,5,1,13,1,2,1,2304,618,77,47,92.915337,Jul
110,5,1,13,1,2,2,2411,617,114,48,96.611069,11th
111,5,1,13,1,2,3,2549,618,155,55,96.243095,"2022,"
112,5,1,13,1,2,4,2729,617,112,48,93.303322,9:01
113,5,1,13,1,2,5,2870,618,91,46,91.517937,AM
114,4,1,13,1,3,0,2825,744,141,46,-1.0,
115,5,1,13,1,3,1,2825,744,141,46,90.329514,Delhi
116,2,1,14,0,0,0,1859,871,1116,58,-1.0,
117,3,1,14,1,0,0,1859,871,1116,58,-1.0,
118,4,1,14,1,1,0,1859,871,1116,58,-1.0,
119,5,1,14,1,1,1,1859,871,163,46,91.545517,Other
120,5,1,14,1,1,2,2050,871,133,46,92.054512,local
121,5,1,14,1,1,3,2206,871,404,58,92.054512,transportation
122,5,1,14,1,1,4,2635,871,252,46,92.468506,services
123,5,1,14,1,1,5,2917,871,58,46,88.52095,of
124,2,1,15,0,0,0,2190,999,778,101,-1.0,
125,3,1,15,1,0,0,2190,999,778,101,-1.0,
126,4,1,15,1,1,0,2190,999,778,101,-1.0,
127,5,1,15,1,1,1,2190,1018,323,47,92.521362,passengers
128,5,1,15,1,1,2,2544,1018,149,35,82.385544,n.e.C.
129,5,1,15,1,1,3,2722,999,246,101,79.026947,(996419)
130,2,1,16,0,0,0,2449,1174,519,187,-1.0,
131,3,1,16,1,0,0,2449,1174,519,187,-1.0,
132,4,1,16,1,1,0,2449,1174,519,48,-1.0,
133,5,1,16,1,1,1,2449,1174,519,48,38.268837,07AAHCR1710J12ZI
134,4,1,16,1,2,0,2647,1301,317,60,-1.0,
135,5,1,16,1,2,1,2647,1301,164,60,91.733284,Sunny
136,5,1,16,1,2,2,2831,1301,133,47,91.550377,Rana
137,2,1,17,0,0,0,2581,1426,368,48,-1.0,
138,3,1,17,1,0,0,2581,1426,368,48,-1.0,
139,4,1,17,1,1,0,2581,1426,368,48,-1.0,
140,5,1,17,1,1,1,2581,1426,368,48,28.39431,DL3SCW4821
141,2,1,18,0,0,0,2514,1605,455,60,-1.0,
